ID,Country,TweakCategory,Period_Used,Year,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
ABW,ABW,Small Island States,recent_2010_2020,2020,0.0,0.0,0.0,65.0,65.0,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2021,0.0,0.0,0.0,63.839286,66.160714,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2022,0.0,0.0,0.0,62.699298,67.300702,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2023,0.0,0.0,0.0,61.579668,68.420332,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2024,0.0,0.0,0.0,60.480031,69.519969,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2025,0.0,0.0,0.0,59.400031,70.599969,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2026,0.0,0.0,0.0,58.5534773252,71.46166572,4.0,5.9848569548
ABW,ABW,Small Island States,recent_2010_2020,2027,0.0,0.0,0.0,57.7069236504,72.32336244,4.0,5.9697139096
ABW,ABW,Small Island States,recent_2010_2020,2028,0.0,0.0,0.0,56.8603699756,73.18505916,4.0,5.9545708644
ABW,ABW,Small Island States,recent_2010_2020,2029,0.0,0.0,0.0,56.0138163008,74.04675588,4.0,5.9394278192000005
ABW,ABW,Small Island States,recent_2010_2020,2030,0.0,0.0,0.0,55.167262625999996,74.9084526,4.0,5.924284774
ABW,ABW,Small Island States,recent_2010_2020,2031,0.0,0.0,0.0,54.3207089512,75.77014932,4.0,5.909141728800001
ABW,ABW,Small Island States,recent_2010_2020,2032,0.0,0.0,0.0,53.4741552764,76.63184604,4.0,5.8939986836000005
ABW,ABW,Small Island States,recent_2010_2020,2033,0.0,0.0,0.0,52.6276016016,77.49354276,4.0,5.878855638400001
ABW,ABW,Small Island States,recent_2010_2020,2034,0.0,0.0,0.0,51.7810479268,78.35523948,4.0,5.863712593200001
ABW,ABW,Small Island States,recent_2010_2020,2035,0.0,0.0,0.0,50.934494252,79.2169362,4.0,5.848569548000001
ABW,ABW,Small Island States,recent_2010_2020,2036,0.0,0.0,0.0,50.0879405772,80.07863292,4.0,5.833426502800001
ABW,ABW,Small Island States,recent_2010_2020,2037,0.0,0.0,0.0,49.241386902399995,80.94032964,4.0,5.8182834576000015
ABW,ABW,Small Island States,recent_2010_2020,2038,0.0,0.0,0.0,48.3948332276,81.80202636,4.0,5.803140412400001
ABW,ABW,Small Island States,recent_2010_2020,2039,0.0,0.0,0.0,47.5482795528,82.66372308,4.0,5.787997367200002
ABW,ABW,Small Island States,recent_2010_2020,2040,0.0,0.0,0.0,46.701725878,83.5254198,4.0,5.7728543220000015
ABW,ABW,Small Island States,recent_2010_2020,2041,0.0,0.0,0.0,45.8551722032,84.38711652,4.0,5.757711276800002
ABW,ABW,Small Island States,recent_2010_2020,2042,0.0,0.0,0.0,45.0086185284,85.24881324,4.0,5.742568231600002
ABW,ABW,Small Island States,recent_2010_2020,2043,0.0,0.0,0.0,44.1620648536,86.11050996,4.0,5.727425186400002
ABW,ABW,Small Island States,recent_2010_2020,2044,0.0,0.0,0.0,43.315511178799994,86.97220668,4.0,5.712282141200002
ABW,ABW,Small Island States,recent_2010_2020,2045,0.0,0.0,0.0,42.468957504,87.8339034,4.0,5.697139096000003
ABW,ABW,Small Island States,recent_2010_2020,2046,0.0,0.0,0.0,41.622403829199996,88.69560012,4.0,5.681996050800002
ABW,ABW,Small Island States,recent_2010_2020,2047,0.0,0.0,0.0,40.775850154400004,89.55729683999999,4.0,5.666853005600003
ABW,ABW,Small Island States,recent_2010_2020,2048,0.0,0.0,0.0,39.9292964796,90.41899356,4.0,5.6517099604000025
ABW,ABW,Small Island States,recent_2010_2020,2049,0.0,0.0,0.0,39.0827428048,91.28069028,4.0,5.636566915200003
ABW,ABW,Small Island States,recent_2010_2020,2050,0.0,0.0,0.0,38.23618913,92.142387,4.0,5.621423870000003
AFG,AFG,Very low-forest countries,long_1990_2020,2020,78979.0,1013.0,11444.0,297977.0,681.0,764.0,252628.0
AFG,AFG,Very low-forest countries,long_1990_2020,2021,78967.194875,1028.584133,11446.308335,298048.275117,696.296391,764.0,252535.341149
AFG,AFG,Very low-forest countries,long_1990_2020,2022,78955.357998,1044.150818,11448.61588,298119.43808,711.589941,764.0,252442.847283
AFG,AFG,Very low-forest countries,long_1990_2020,2023,78943.48963,1059.700066,11450.922634,298190.489044,726.880655,764.0,252350.517971
AFG,AFG,Very low-forest countries,long_1990_2020,2024,78931.590029,1075.231888,11453.228597,298261.428166,742.168533,764.0,252258.352787
AFG,AFG,Very low-forest countries,long_1990_2020,2025,78919.659453,1090.746296,11455.533767,298332.255603,757.453579,764.0,252166.351302
AFG,AFG,Very low-forest countries,long_1990_2020,2026,79158.9138317856,1111.927579868,11467.0388518248,298521.6760703696,772.7020731599999,764.0,251689.741592952
AFG,AFG,Very low-forest countries,long_1990_2020,2027,79398.1682105712,1133.108863736,11478.543936649601,298711.0965377392,787.95056732,764.0,251213.131883904
AFG,AFG,Very low-forest countries,long_1990_2020,2028,79637.42258935681,1154.2901476040001,11490.0490214744,298900.5170051088,803.19906148,764.0,250736.52217485599
AFG,AFG,Very low-forest countries,long_1990_2020,2029,79876.6769681424,1175.471431472,11501.5541062992,299089.9374724784,818.44755564,764.0,250259.91246580798
AFG,AFG,Very low-forest countries,long_1990_2020,2030,80115.931346928,1196.65271534,11513.059191124,299279.357939848,833.6960498,764.0,249783.30275675998
