ID,Country,TweakCategory,Period_Used,Year,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
ABW,ABW,Small Island States,recent_2010_2020,2020,0.0,0.0,0.0,65.0,65.0,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2021,0.0,0.0,0.0,63.8352,66.1648,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2022,0.0,0.0,0.0,62.6914,67.3086,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2023,0.0,0.0,0.0,61.5682,68.4318,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2024,0.0,0.0,0.0,60.4651,69.5349,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2025,0.0,0.0,0.0,59.3818,70.6182,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2026,0.0,0.0,0.0,58.4430002,71.481396,4.0,6.0756038000000006
ABW,ABW,Small Island States,recent_2010_2020,2027,0.0,0.0,0.0,57.5042004,72.344592,4.0,6.1512076
ABW,ABW,Small Island States,recent_2010_2020,2028,0.0,0.0,0.0,56.5654006,73.207788,4.0,6.226811400000001
ABW,ABW,Small Island States,recent_2010_2020,2029,0.0,0.0,0.0,55.6266008,74.070984,4.0,6.302415200000001
ABW,ABW,Small Island States,recent_2010_2020,2030,0.0,0.0,0.0,54.687801,74.93418,4.0,6.378019000000001
ABW,ABW,Small Island States,recent_2010_2020,2031,0.0,0.0,0.0,53.7490012,75.797376,4.0,6.4536228000000015
ABW,ABW,Small Island States,recent_2010_2020,2032,0.0,0.0,0.0,52.8102014,76.660572,4.0,6.529226600000002
ABW,ABW,Small Island States,recent_2010_2020,2033,0.0,0.0,0.0,51.8714016,77.523768,4.0,6.604830400000003
ABW,ABW,Small Island States,recent_2010_2020,2034,0.0,0.0,0.0,50.9326018,78.386964,4.0,6.680434200000002
ABW,ABW,Small Island States,recent_2010_2020,2035,0.0,0.0,0.0,49.993802,79.25016,4.0,6.756038000000003
ABW,ABW,Small Island States,recent_2010_2020,2036,0.0,0.0,0.0,49.0550022,80.113356,4.0,6.831641800000003
ABW,ABW,Small Island States,recent_2010_2020,2037,0.0,0.0,0.0,48.1162024,80.976552,4.0,6.907245600000003
ABW,ABW,Small Island States,recent_2010_2020,2038,0.0,0.0,0.0,47.1774026,81.839748,4.0,6.982849400000004
ABW,ABW,Small Island States,recent_2010_2020,2039,0.0,0.0,0.0,46.238602799999995,82.702944,4.0,7.058453200000004
ABW,ABW,Small Island States,recent_2010_2020,2040,0.0,0.0,0.0,45.299803,83.56614,4.0,7.134057000000004
ABW,ABW,Small Island States,recent_2010_2020,2041,0.0,0.0,0.0,44.3610032,84.429336,4.0,7.209660800000004
ABW,ABW,Small Island States,recent_2010_2020,2042,0.0,0.0,0.0,43.4222034,85.292532,4.0,7.285264600000005
ABW,ABW,Small Island States,recent_2010_2020,2043,0.0,0.0,0.0,42.4834036,86.155728,4.0,7.360868400000005
ABW,ABW,Small Island States,recent_2010_2020,2044,0.0,0.0,0.0,41.544603800000004,87.018924,4.0,7.436472200000005
ABW,ABW,Small Island States,recent_2010_2020,2045,0.0,0.0,0.0,40.605804,87.88212,4.0,7.512076000000006
ABW,ABW,Small Island States,recent_2010_2020,2046,0.0,0.0,0.0,39.6670042,88.745316,4.0,7.587679800000005
ABW,ABW,Small Island States,recent_2010_2020,2047,0.0,0.0,0.0,38.728204399999996,89.60851199999999,4.0,7.663283600000006
ABW,ABW,Small Island States,recent_2010_2020,2048,0.0,0.0,0.0,37.7894046,90.471708,4.0,7.7388874000000065
ABW,ABW,Small Island States,recent_2010_2020,2049,0.0,0.0,0.0,36.8506048,91.334904,4.0,7.814491200000006
ABW,ABW,Small Island States,recent_2010_2020,2050,0.0,0.0,0.0,35.911805,92.1981,4.0,7.890095000000007
AFG,AFG,Very low-forest countries,long_1990_2020,2020,78979.0,1013.0,11444.0,297977.0,681.0,764.0,252628.0
AFG,AFG,Very low-forest countries,long_1990_2020,2021,78968.7371,1028.715,11446.3311,298048.1982,696.285,764.0,252533.7336
AFG,AFG,Very low-forest countries,long_1990_2020,2022,78958.4361,1044.4127,11448.6615,298119.2843,711.5671,764.0,252439.6384
AFG,AFG,Very low-forest countries,long_1990_2020,2023,78948.0972,1060.0929,11450.9911,298190.2583,726.8465,764.0,252345.7139
AFG,AFG,Very low-forest countries,long_1990_2020,2024,78937.7207,1075.7559,11453.32,298261.1206,742.1231,764.0,252251.9598
AFG,AFG,Very low-forest countries,long_1990_2020,2025,78927.3069,1091.4015,11455.6481,298331.8711,757.3969,764.0,252158.3755
AFG,AFG,Very low-forest countries,long_1990_2020,2026,78601.8175596,1105.0505956,11467.17716616,296240.72129256,772.6347119999999,764.0,254534.59867008
AFG,AFG,Very low-forest countries,long_1990_2020,2027,78276.32821919999,1118.6996912,11478.70623232,294149.57148512,787.872524,764.0,256910.82184016
AFG,AFG,Very low-forest countries,long_1990_2020,2028,77950.8388788,1132.3487868,11490.23529848,292058.42167768,803.110336,764.0,259287.04501024002
AFG,AFG,Very low-forest countries,long_1990_2020,2029,77625.3495384,1145.9978824,11501.764364640001,289967.27187024,818.3481479999999,764.0,261663.26818032
AFG,AFG,Very low-forest countries,long_1990_2020,2030,77299.860198,1159.646978,11513.2934308,287876.1220628,833.58596,764.0,264039.4913504
AFG,AFG,Very low-forest countries,long_1990_2020,2031,76974.37085759999,1173.2960736,11524.82249696,285784.97225536,848.823772,764.0,266415.71452048
AFG,AFG,Very low-forest countries,long_1990_2020,2032,76648.8815172,1186.9451692,11536.35156312,283693.82244792,864.061584,764.0,268791.93769056
AFG,AFG,Very low-forest countries,long_1990_2020,2033,76323.3921768,1200.5942648,11547.88062928,281602.67264048,879.299396,764.0,271168.16086064006
AFG,AFG,Very low-forest countries,long_1990_2020,2034,75997.9028364,1214.2433604,11559.409695440001,279511.52283304,894.537208,764.0,273544.38403072004
AFG,AFG,Very low-forest countries,long_1990_2020,2035,75672.413496,1227.892456,11570.9387616,277420.3730256,909.77502,764.0,275920.60720080003
AFG,AFG,Very low-forest countries,long_1990_2020,2036,75346.9241556,1241.5415516,11582.46782776,275329.22321816,925.012832,764.0,278296.83037088
AFG,AFG,Very low-forest countries,long_1990_2020,2037,75021.4348152,1255.1906472,11593.99689392,273238.07341072,940.250644,764.0,280673.05354096007
AFG,AFG,Very low-forest countries,long_1990_2020,2038,74695.9454748,1268.8397427999998,11605.52596008,271146.92360328,955.488456,764.0,283049.27671104006
AFG,AFG,Very low-forest countries,long_1990_2020,2039,74370.4561344,1282.4888384,11617.055026240001,269055.77379584,970.726268,764.0,285425.49988112005
AFG,AFG,Very low-forest countries,long_1990_2020,2040,74044.966794,1296.1379339999999,11628.5840924,266964.6239884,985.96408,764.0,287801.72305120004
AFG,AFG,Very low-forest countries,long_1990_2020,2041,73719.4774536,1309.7870295999999,11640.11315856,264873.47418096,1001.201892,764.0,290177.9462212801
AFG,AFG,Very low-forest countries,long_1990_2020,2042,73393.9881132,1323.4361251999999,11651.64222472,262782.32437352,1016.4397040000001,764.0,292554.1693913601
AFG,AFG,Very low-forest countries,long_1990_2020,2043,73068.4987728,1337.0852208,11663.17129088,260691.17456607998,1031.677516,764.0,294930.39256144007
AFG,AFG,Very low-forest countries,long_1990_2020,2044,72743.00943240001,1350.7343164,11674.700357040001,258600.02475863998,1046.915328,764.0,297306.6157315201
AFG,AFG,Very low-forest countries,long_1990_2020,2045,72417.520092,1364.383412,11686.2294232,256508.87495119998,1062.1531400000001,764.0,299682.8389016001
AFG,AFG,Very low-forest countries,long_1990_2020,2046,72092.0307516,1378.0325076,11697.75848936,254417.72514375998,1077.390952,764.0,302059.0620716801
AFG,AFG,Very low-forest countries,long_1990_2020,2047,71766.5414112,1391.6816032,11709.28755552,252326.57533631998,1092.628764,764.0,304435.2852417601
AFG,AFG,Very low-forest countries,long_1990_2020,2048,71441.05207080001,1405.3306988,11720.81662168,250235.42552887998,1107.8665760000001,764.0,306811.50841184007
AFG,AFG,Very low-forest countries,long_1990_2020,2049,71115.56273040001,1418.9797944,11732.345687840001,248144.27572143998,1123.104388,764.0,309187.7315819201
AFG,AFG,Very low-forest countries,long_1990_2020,2050,70790.07339,1432.62889,11743.874754,246053.12591399997,1138.3422,764.0,311563.9547520001
AGO,AGO,Highly agricultural economies,recent_2010_2020,2020,51218.0,2370.0,667533.0,516508.0,1246.0,1323.0,10417.0
AGO,AGO,Highly agricultural economies,recent_2010_2020,2021,51600.9408,2331.1242,663535.5503,520145.881,1254.5971,1323.0,10423.9066
AGO,AGO,Highly agricultural economies,recent_2010_2020,2022,51981.2355,2293.076,659569.7002,523753.7747,1263.2324,1323.0,10430.9811
AGO,AGO,Highly agricultural economies,recent_2010_2020,2023,52358.9034,2255.8369,655635.2009,527331.9312,1271.9057,1323.0,10438.2219
AGO,AGO,Highly agricultural economies,recent_2010_2020,2024,52733.9636,2219.3889,651731.8053,530880.5982,1280.6169,1323.0,10445.6271
AGO,AGO,Highly agricultural economies,recent_2010_2020,2025,53106.435,2183.7144,647859.2686,534400.0215,1289.3656,1323.0,10453.195
AGO,AGO,Highly agricultural economies,recent_2010_2020,2026,53200.8365148,2154.53054704,646153.9973361599,533148.70618736,1298.578616,1323.0,13335.350894639992
AGO,AGO,Highly agricultural economies,recent_2010_2020,2027,53295.2380296,2125.34669408,644448.7260723199,531897.3908747201,1307.7916320000002,1323.0,16217.506789279987
AGO,AGO,Highly agricultural economies,recent_2010_2020,2028,53389.6395444,2096.16284112,642743.45480848,530646.07556208,1317.004648,1323.0,19099.66268391998
AGO,AGO,Highly agricultural economies,recent_2010_2020,2029,53484.0410592,2066.97898816,641038.18354464,529394.76024944,1326.217664,1323.0,21981.818578559974
AGO,AGO,Highly agricultural economies,recent_2010_2020,2030,53578.442574,2037.7951351999998,639332.9122807999,528143.4449368,1335.4306800000002,1323.0,24863.974473199967
AGO,AGO,Highly agricultural economies,recent_2010_2020,2031,53672.8440888,2008.6112822399998,637627.6410169599,526892.12962416,1344.643696,1323.0,27746.130367839964
AGO,AGO,Highly agricultural economies,recent_2010_2020,2032,53767.2456036,1979.4274292799998,635922.36975312,525640.8143115201,1353.856712,1323.0,30628.286262479956
AGO,AGO,Highly agricultural economies,recent_2010_2020,2033,53861.6471184,1950.2435763199999,634217.09848928,524389.49899888,1363.0697280000002,1323.0,33510.44215711995
AGO,AGO,Highly agricultural economies,recent_2010_2020,2034,53956.0486332,1921.05972336,632511.82722544,523138.18368624,1372.282744,1323.0,36392.59805175994
AGO,AGO,Highly agricultural economies,recent_2010_2020,2035,54050.450147999996,1891.8758704,630806.5559615999,521886.8683736,1381.49576,1323.0,39274.75394639994
AGO,AGO,Highly agricultural economies,recent_2010_2020,2036,54144.8516628,1862.69201744,629101.28469776,520635.55306096,1390.708776,1323.0,42156.90984103993
AGO,AGO,Highly agricultural economies,recent_2010_2020,2037,54239.253177599996,1833.5081644799998,627396.01343392,519384.23774832004,1399.921792,1323.0,45039.06573567993
AGO,AGO,Highly agricultural economies,recent_2010_2020,2038,54333.6546924,1804.3243115199998,625690.74217008,518132.92243568,1409.134808,1323.0,47921.22163031992
AGO,AGO,Highly agricultural economies,recent_2010_2020,2039,54428.056207199996,1775.1404585599998,623985.4709062399,516881.60712304,1418.347824,1323.0,50803.37752495991
AGO,AGO,Highly agricultural economies,recent_2010_2020,2040,54522.457722,1745.9566055999999,622280.1996424,515630.2918104,1427.56084,1323.0,53685.5334195999
AGO,AGO,Highly agricultural economies,recent_2010_2020,2041,54616.859236799995,1716.77275264,620574.92837856,514378.97649776004,1436.773856,1323.0,56567.6893142399
AGO,AGO,Highly agricultural economies,recent_2010_2020,2042,54711.2607516,1687.58889968,618869.65711472,513127.66118512,1445.986872,1323.0,59449.845208879895
AGO,AGO,Highly agricultural economies,recent_2010_2020,2043,54805.662266399995,1658.40504672,617164.38585088,511876.34587248,1455.199888,1323.0,62332.001103519884
AGO,AGO,Highly agricultural economies,recent_2010_2020,2044,54900.0637812,1629.22119376,615459.11458704,510625.03055984003,1464.412904,1323.0,65214.15699815988
AGO,AGO,Highly agricultural economies,recent_2010_2020,2045,54994.465295999995,1600.0373408,613753.8433232,509373.7152472,1473.62592,1323.0,68096.31289279988
AGO,AGO,Highly agricultural economies,recent_2010_2020,2046,55088.8668108,1570.85348784,612048.57205936,508122.39993456,1482.838936,1323.0,70978.46878743987
AGO,AGO,Highly agricultural economies,recent_2010_2020,2047,55183.268325599995,1541.66963488,610343.30079552,506871.08462192,1492.051952,1323.0,73860.62468207986
AGO,AGO,Highly agricultural economies,recent_2010_2020,2048,55277.6698404,1512.48578192,608638.02953168,505619.76930928003,1501.264968,1323.0,76742.78057671987
AGO,AGO,Highly agricultural economies,recent_2010_2020,2049,55372.071355199994,1483.30192896,606932.75826784,504368.45399664,1510.477984,1323.0,79624.93647135986
AGO,AGO,Highly agricultural economies,recent_2010_2020,2050,55466.47287,1454.118076,605227.487004,503117.138684,1519.691,1323.0,82507.09236599985
AIA,AIA,Small Island States,recent_2010_2020,2020,0.0,0.0,34.0,5.0,2.0,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2021,0.0,0.0,34.0,5.0,2.0,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2022,0.0,0.0,34.0,5.0,2.0,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2023,0.0,0.0,34.0,5.0,2.0,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2024,0.0,0.0,34.0,5.0,2.0,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2025,0.0,0.0,34.0,5.0,2.0,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2026,0.0,0.0,34.01922261484099,4.983510011778563,1.9972673733804476,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2027,0.0,0.0,34.038445229681976,4.967020023557126,1.9945347467608951,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2028,0.0,0.0,34.05766784452297,4.950530035335689,1.9918021201413427,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2029,0.0,0.0,34.07689045936396,4.934040047114252,1.9890694935217903,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2030,0.0,0.0,34.09611307420495,4.917550058892815,1.9863368669022379,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2031,0.0,0.0,34.115335689045935,4.901060070671378,1.9836042402826854,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2032,0.0,0.0,34.13455830388693,4.884570082449941,1.980871613663133,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2033,0.0,0.0,34.15378091872792,4.868080094228504,1.9781389870435806,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2034,0.0,0.0,34.1730035335689,4.851590106007067,1.9754063604240282,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2035,0.0,0.0,34.192226148409894,4.83510011778563,1.9726737338044757,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2036,0.0,0.0,34.211448763250885,4.818610129564193,1.9699411071849233,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2037,0.0,0.0,34.23067137809188,4.802120141342756,1.967208480565371,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2038,0.0,0.0,34.24989399293286,4.7856301531213195,1.9644758539458187,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2039,0.0,0.0,34.26911660777385,4.769140164899882,1.9617432273262663,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2040,0.0,0.0,34.288339222614844,4.752650176678445,1.9590106007067138,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2041,0.0,0.0,34.307561837455836,4.736160188457008,1.9562779740871614,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2042,0.0,0.0,34.32678445229682,4.719670200235571,1.953545347467609,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2043,0.0,0.0,34.34600706713781,4.703180212014134,1.9508127208480566,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2044,0.0,0.0,34.3652296819788,4.686690223792697,1.9480800942285041,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2045,0.0,0.0,34.38445229681979,4.67020023557126,1.9453474676089517,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2046,0.0,0.0,34.40367491166078,4.6537102473498235,1.9426148409893993,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2047,0.0,0.0,34.42289752650177,4.637220259128386,1.9398822143698469,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2048,0.0,0.0,34.44212014134276,4.620730270906949,1.9371495877502944,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2049,0.0,0.0,34.46134275618375,4.604240282685512,1.934416961130742,3.0,0.0
AIA,AIA,Small Island States,recent_2010_2020,2050,0.0,0.0,34.48056537102474,4.587750294464075,1.9316843345111896,3.0,0.0
ALA,ALA,Small Island States,long_1990_2020,2020,191.0,0.0,390.0,68.0,11.0,40.0,3.0
ALA,ALA,Small Island States,long_1990_2020,2021,193.4196,0.0,393.2442,62.116,11.078,40.0,3.1422
ALA,ALA,Small Island States,long_1990_2020,2022,195.7527,0.0,395.7263,57.0933,11.1566,40.0,3.2712
ALA,ALA,Small Island States,long_1990_2020,2023,198.009,0.0,397.5628,52.8038,11.2356,40.0,3.3888
ALA,ALA,Small Island States,long_1990_2020,2024,200.1968,0.0,398.8527,49.139,11.3151,40.0,3.4964
ALA,ALA,Small Island States,long_1990_2020,2025,202.3233,0.0,399.6805,46.0061,11.3948,40.0,3.5954
ALA,ALA,Small Island States,long_1990_2020,2026,203.52490478852218,0.0,399.359606068668,45.19136039439627,11.47264074841357,40.0,3.451584
ALA,ALA,Small Island States,long_1990_2020,2027,204.7265095770444,0.0,399.0387121373359,44.376620788792536,11.55048149682714,40.0,3.3077680000000003
ALA,ALA,Small Island States,long_1990_2020,2028,205.92811436556659,0.0,398.71781820600387,43.5618811831888,11.62832224524071,40.0,3.163952
ALA,ALA,Small Island States,long_1990_2020,2029,207.12971915408878,0.0,398.39692427467185,42.747141577585076,11.70616299365428,40.0,3.020136
ALA,ALA,Small Island States,long_1990_2020,2030,208.331323942611,0.0,398.0760303433398,41.93240197198134,11.784003742067851,40.0,2.87632
ALA,ALA,Small Island States,long_1990_2020,2031,209.53292873113318,0.0,397.75513641200774,41.11766236637761,11.86184449048142,40.0,2.732504
ALA,ALA,Small Island States,long_1990_2020,2032,210.73453351965537,0.0,397.4342424806757,40.302922760773875,11.93968523889499,40.0,2.5886880000000003
ALA,ALA,Small Island States,long_1990_2020,2033,211.9361383081776,0.0,397.1133485493437,39.48818315517014,12.017525987308561,40.0,2.444872
ALA,ALA,Small Island States,long_1990_2020,2034,213.13774309669978,0.0,396.7924546180116,38.67344354956641,12.09536673572213,40.0,2.301056
ALA,ALA,Small Island States,long_1990_2020,2035,214.33934788522197,0.0,396.4715606866796,37.858703943962674,12.1732074841357,40.0,2.15724
ALA,ALA,Small Island States,long_1990_2020,2036,215.5409526737442,0.0,396.1506667553476,37.04396433835895,12.25104823254927,40.0,2.013424
ALA,ALA,Small Island States,long_1990_2020,2037,216.74255746226638,0.0,395.82977282401555,36.22922473275521,12.32888898096284,40.0,1.8696080000000002
ALA,ALA,Small Island States,long_1990_2020,2038,217.94416225078857,0.0,395.50887889268347,35.41448512715148,12.40672972937641,40.0,1.725792
ALA,ALA,Small Island States,long_1990_2020,2039,219.14576703931078,0.0,395.18798496135145,34.599745521547746,12.48457047778998,40.0,1.581976
ALA,ALA,Small Island States,long_1990_2020,2040,220.34737182783297,0.0,394.8670910300194,33.78500591594401,12.562411226203551,40.0,1.4381600000000003
ALA,ALA,Small Island States,long_1990_2020,2041,221.54897661635516,0.0,394.5461970986874,32.97026631034028,12.64025197461712,40.0,1.2943440000000002
ALA,ALA,Small Island States,long_1990_2020,2042,222.75058140487738,0.0,394.2253031673553,32.155526704736545,12.71809272303069,40.0,1.150528
