ID,Country,TweakCategory,Crops_baseline_2050,Crops_target_2050,Crops_relchange_pct,TreeCrops_baseline_2050,TreeCrops_target_2050,TreeCrops_relchange_pct,Forest_baseline_2050,Forest_target_2050,Forest_relchange_pct,Grassland_baseline_2050,Grassland_target_2050,Grassland_relchange_pct,Urban_baseline_2050,Urban_target_2050,Urban_relchange_pct,Water_baseline_2050,Water_target_2050,Water_relchange_pct,Other_baseline_2050,Other_target_2050,Other_relchange_pct
ABW,ABW,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8019,39.691995000000006,5.000000000000006,92.1981,92.1981,0.0,4.0,4.0,0.0,6.0,4.109905000000008,-31.501583333333194
AFG,AFG,Very low-forest countries,78655.6371,83374.97532600001,6.000000000000009,1476.937,1506.4757399999999,1.9999999999999976,11513.6027,11168.194619,-2.9999999999999964,300064.7877,336072.562224,12.000000000000004,1138.3422,1138.3422,0.0,764.0,764.0,0.0,249872.6932,209461.449791,-16.172732959121127
AGO,AGO,Highly agricultural economies,61629.4143,62820.368714472235,1.9324448041561846,1499.0908,1470.3972644525159,-1.9140625469440602,560395.8213,522724.9116929033,-6.72219673581935,613557.4862,660814.9466774465,7.702205830806541,1519.691,1461.3756507252162,-3.837316222494164,1323.0,1323.0,0.0,10690.4964,0.0,-100.0
AIA,AIA,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,34.0,33.66,-1.00000000000001,5.0,5.25,5.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.09000000000000341,inf
ALA,ALA,Small Island States,244.6569,254.98531849889756,4.221592973219863,0.0,0.0,0.0,373.1051,366.63573133093496,-1.7339266252498382,26.994,28.133576807190973,4.2215929732198765,13.3443,13.24537336297655,-0.7413400255048943,40.0,40.0,0.0,4.8997,0.0,-100.0
ALB,ALB,Highly agricultural economies,5897.5513,6251.404378,6.000000000000002,0.4212,0.429624,1.999999999999997,8390.1696,8138.464511999999,-3.0000000000000075,10675.341,11956.381920000002,12.000000000000012,377.2012,377.2012,0.0,679.0,679.0,0.0,2130.3156,747.1182659999936,-64.92922147310034
AND,AND,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,159.9708,155.171676,-3.000000000000004,233.33,244.99650000000003,5.000000000000005,27.6448,27.6448,0.0,0.0,0.0,0.0,23.0544,16.18702399999995,-29.787702130613024
ARE,ARE,Very low-forest countries,622.5966,659.952396,6.000000000000009,0.0,0.0,0.0,1219.2648,1182.6868559999998,-3.0000000000000098,4111.1518,4604.490016,12.000000000000004,2220.2141,2220.2141,0.0,168.0,168.0,0.0,62297.7726,61803.65653199999,-0.7931520620690748
ARG,ARG,Highly agricultural economies,378289.9481,400987.344986,6.000000000000001,1780.4027,1816.0107540000001,2.000000000000002,252720.358,245138.74726,-3.0000000000000013,1437836.018,1610376.3401600001,12.000000000000016,16021.8258,16021.8258,0.0,29591.0,29591.0,0.0,670050.4476,482358.73123999906,-28.011579879138775
ARM,ARM,Highly agricultural economies,4171.675,4421.9755000000005,6.000000000000007,1166.3571,1189.684242,2.000000000000008,3287.0323,3188.4213309999996,-3.0000000000000093,14869.8505,16654.23256,12.0,847.7793,847.7793,0.0,1400.0,1400.0,0.0,3894.3059,1934.9071669999962,-50.314453546137806
ASM,ASM,Small Island States,2.0,2.04,2.0000000000000018,0.0,0.0,0.0,95.0,94.05,-1.0000000000000029,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.9099999999999966,inf
ATG,ATG,Small Island States,29.0,30.29847876348657,4.4775129775399005,0.0,0.0,0.0,66.1561,63.852095737186886,-3.482678487415536,164.0,171.34312128316543,4.477512977539896,67.8439,67.50630421616113,-0.4976066880572587,28.0,28.0,0.0,6.0,0.0,-100.0
AUS,AUS,Highly agricultural economies,348837.5954,358184.46085001656,2.6794317967072456,139.5451,137.8771680148583,-1.1952637427911679,1492290.777,1402176.8111895465,-6.038633167164145,5441047.736,5903072.950005558,8.491475105954828,17805.6842,17247.90128686422,-3.132611512540357,12608.0,12608.0,0.0,380698.6628,0.0,-100.0
AUT,AUT,No specific tweak,12231.1856,12965.056736000002,6.000000000000012,478.3154,487.881708,1.9999999999999982,40549.1884,39332.712748,-3.0000000000000027,22291.6746,24966.675552,12.00000000000001,4349.6858,4349.6858,0.0,493.0,493.0,0.0,3702.9502,1500.9874560000057,-59.46509202311157
