ID,Country,TweakCategory,Crops_baseline_2050,Crops_target_2050,Crops_relchange_pct,TreeCrops_baseline_2050,TreeCrops_target_2050,TreeCrops_relchange_pct,Forest_baseline_2050,Forest_target_2050,Forest_relchange_pct,Grassland_baseline_2050,Grassland_target_2050,Grassland_relchange_pct,Urban_baseline_2050,Urban_target_2050,Urban_relchange_pct,Water_baseline_2050,Water_target_2050,Water_relchange_pct,Other_baseline_2050,Other_target_2050,Other_relchange_pct
ABW,ABW,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8019,37.045862,-2.0000000000000098,92.1981,92.1981,0.0,4.0,4.0,0.0,6.0,6.756038,12.600633333333336
AFG,AFG,Very low-forest countries,78655.6371,81015.306213,2.999999999999995,1476.937,1550.78385,5.000000000000009,11513.6027,11743.874754,2.0000000000000084,300064.7877,294063.49194599997,-2.000000000000007,1138.3422,1138.3422,0.0,764.0,764.0,0.0,249872.6932,253210.2009370001,1.3356832610471476
AGO,AGO,Highly agricultural economies,61629.4143,62567.30639015661,1.5218254153627682,1499.0908,1551.455885469372,3.4931229962436006,560395.8213,591018.2058724626,5.46442057712443,613557.4862,592657.1502559179,-3.4064185368393147,1519.691,1497.881595993185,-1.4351209559584763,1323.0,1323.0,0.0,10690.4964,0.0,-100.0
AIA,AIA,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.35915492957747,1.0563380281690329,5.0,4.715962441314554,-5.68075117370892,2.0,1.9248826291079812,-3.7558685446009377,3.0,3.0,0.0,0.0,0.0,0.0
ALA,ALA,Small Island States,244.6569,244.4187476838563,-0.09734134461104402,0.0,0.0,0.0,373.1051,379.9796215561068,1.8425161050081598,26.994,25.658610877560175,-4.946984968659052,13.3443,12.943019882476765,-3.0071275190398556,40.0,40.0,0.0,4.8997,0.0,-100.0
ALB,ALB,Highly agricultural economies,5897.5513,6074.477839,3.000000000000001,0.4212,0.44226000000000004,5.000000000000005,8390.1696,8977.481472,7.0000000000000036,10675.341,10461.83418,-2.000000000000005,377.2012,377.2012,0.0,679.0,679.0,0.0,2130.3156,1579.5629489999951,-25.85310134329415
AND,AND,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,159.9708,167.96934000000002,5.000000000000012,233.33,228.6634,-2.000000000000007,27.6448,27.6448,0.0,0.0,0.0,0.0,23.0544,19.722459999999955,-14.452512318689905
ARE,ARE,Very low-forest countries,622.5966,641.274498,3.0000000000000044,0.0,0.0,0.0,1219.2648,1243.6500959999998,1.9999999999999942,4111.1518,4028.928764,-1.999999999999997,2220.2141,2220.2141,0.0,168.0,168.0,0.0,62297.7726,62336.93244199999,0.06285913663628107
ARG,ARG,Highly agricultural economies,378289.9481,389638.646543,3.000000000000008,1780.4027,1869.422835,4.999999999999999,252720.358,270410.78306000005,7.000000000000014,1437836.018,1409079.29764,-1.9999999999999944,16021.8258,16021.8258,0.0,29591.0,29591.0,0.0,670050.4476,669679.0243219998,-0.05543213639071164
ARM,ARM,Highly agricultural economies,4171.675,4296.82525,2.9999999999999925,1166.3571,1224.674955,5.000000000000001,3287.0323,3517.124561,7.000000000000008,14869.8505,14572.45349,-2.000000000000004,847.7793,847.7793,0.0,1400.0,1400.0,0.0,3894.3059,3778.142543999997,-2.9829027041764427
