ID,Country,TweakCategory,Period_Used,Year,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
ABW,ABW,Small Island States,recent_2010_2020,2020,0.0,0.0,0.0,65.0,65.0,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2021,0.0,0.0,0.0,63.839286,66.160714,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2022,0.0,0.0,0.0,62.699298,67.300702,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2023,0.0,0.0,0.0,61.579668,68.420332,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2024,0.0,0.0,0.0,60.480031,69.519969,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2025,0.0,0.0,0.0,59.400031,70.599969,4.0,6.0
ABW,ABW,Small Island States,recent_2010_2020,2026,0.0,0.0,0.0,58.462619054,71.46166572,4.0,6.075715226
ABW,ABW,Small Island States,recent_2010_2020,2027,0.0,0.0,0.0,57.525207108,72.32336244,4.0,6.151430452
ABW,ABW,Small Island States,recent_2010_2020,2028,0.0,0.0,0.0,56.587795162,73.18505916,4.0,6.227145677999999
ABW,ABW,Small Island States,recent_2010_2020,2029,0.0,0.0,0.0,55.650383216,74.04675588,4.0,6.302860903999999
ABW,ABW,Small Island States,recent_2010_2020,2030,0.0,0.0,0.0,54.71297127,74.9084526,4.0,6.378576129999999
ABW,ABW,Small Island States,recent_2010_2020,2031,0.0,0.0,0.0,53.775559324,75.77014932,4.0,6.454291355999999
ABW,ABW,Small Island States,recent_2010_2020,2032,0.0,0.0,0.0,52.838147377999995,76.63184604,4.0,6.530006581999999
ABW,ABW,Small Island States,recent_2010_2020,2033,0.0,0.0,0.0,51.900735432,77.49354276,4.0,6.6057218079999975
ABW,ABW,Small Island States,recent_2010_2020,2034,0.0,0.0,0.0,50.963323486,78.35523948,4.0,6.681437033999997
ABW,ABW,Small Island States,recent_2010_2020,2035,0.0,0.0,0.0,50.025911539999996,79.2169362,4.0,6.757152259999997
ABW,ABW,Small Island States,recent_2010_2020,2036,0.0,0.0,0.0,49.088499594,80.07863292,4.0,6.832867485999997
ABW,ABW,Small Island States,recent_2010_2020,2037,0.0,0.0,0.0,48.151087648,80.94032964,4.0,6.908582711999997
ABW,ABW,Small Island States,recent_2010_2020,2038,0.0,0.0,0.0,47.213675701999996,81.80202636,4.0,6.9842979379999965
ABW,ABW,Small Island States,recent_2010_2020,2039,0.0,0.0,0.0,46.276263756,82.66372308,4.0,7.060013163999996
ABW,ABW,Small Island States,recent_2010_2020,2040,0.0,0.0,0.0,45.33885181,83.5254198,4.0,7.135728389999996
ABW,ABW,Small Island States,recent_2010_2020,2041,0.0,0.0,0.0,44.401439864,84.38711652,4.0,7.211443615999996
ABW,ABW,Small Island States,recent_2010_2020,2042,0.0,0.0,0.0,43.464027918,85.24881324,4.0,7.287158841999996
ABW,ABW,Small Island States,recent_2010_2020,2043,0.0,0.0,0.0,42.526615972,86.11050996,4.0,7.362874067999995
ABW,ABW,Small Island States,recent_2010_2020,2044,0.0,0.0,0.0,41.589204026,86.97220668,4.0,7.4385892939999945
ABW,ABW,Small Island States,recent_2010_2020,2045,0.0,0.0,0.0,40.65179207999999,87.8339034,4.0,7.514304519999994
ABW,ABW,Small Island States,recent_2010_2020,2046,0.0,0.0,0.0,39.714380133999995,88.69560012,4.0,7.590019745999994
ABW,ABW,Small Island States,recent_2010_2020,2047,0.0,0.0,0.0,38.776968188,89.55729683999999,4.0,7.665734971999994
ABW,ABW,Small Island States,recent_2010_2020,2048,0.0,0.0,0.0,37.839556242,90.41899356,4.0,7.741450197999994
ABW,ABW,Small Island States,recent_2010_2020,2049,0.0,0.0,0.0,36.902144296,91.28069028,4.0,7.8171654239999935
ABW,ABW,Small Island States,recent_2010_2020,2050,0.0,0.0,0.0,35.96473235,92.142387,4.0,7.892880649999993
AFG,AFG,Very low-forest countries,long_1990_2020,2020,78979.0,1013.0,11444.0,297977.0,681.0,764.0,252628.0
AFG,AFG,Very low-forest countries,long_1990_2020,2021,78967.194875,1028.584133,11446.308335,298048.275117,696.296391,764.0,252535.341149
AFG,AFG,Very low-forest countries,long_1990_2020,2022,78955.357998,1044.150818,11448.61588,298119.43808,711.589941,764.0,252442.847283
AFG,AFG,Very low-forest countries,long_1990_2020,2023,78943.48963,1059.700066,11450.922634,298190.489044,726.880655,764.0,252350.517971
AFG,AFG,Very low-forest countries,long_1990_2020,2024,78931.590029,1075.231888,11453.228597,298261.428166,742.168533,764.0,252258.352787
AFG,AFG,Very low-forest countries,long_1990_2020,2025,78919.659453,1090.746296,11455.533767,298332.255603,757.453579,764.0,252166.351302
AFG,AFG,Very low-forest countries,long_1990_2020,2026,78750.131148084,1106.0356584400001,11467.0388518248,296841.3003309552,772.7020731599999,764.0,253784.791937496
AFG,AFG,Very low-forest countries,long_1990_2020,2027,78580.602843168,1121.32502088,11478.543936649601,295350.3450589104,787.95056732,764.0,255403.23257299198
AFG,AFG,Very low-forest countries,long_1990_2020,2028,78411.074538252,1136.6143833200001,11490.0490214744,293859.3897868656,803.19906148,764.0,257021.67320848798
AFG,AFG,Very low-forest countries,long_1990_2020,2029,78241.546233336,1151.90374576,11501.5541062992,292368.4345148208,818.44755564,764.0,258640.113843984
AFG,AFG,Very low-forest countries,long_1990_2020,2030,78072.01792842,1167.1931082,11513.059191124,290877.479242776,833.6960498,764.0,260258.55447948
